wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,29481,0,0,1815,-0.256,0.536,1.22,3.81,-27.49,7.41,R
,29521,0,0,2375,-0.292,0.522,1.66,2.23,-64.07,.91,R
,29531,,0,2409,-0.262,0.539,1.46,6.44,-68.41,.57,R
,29571,0,0,1647,-0.044,0.508,0.72,28.0,-61.35,9.47,R
,29591,0,0,1939,0.106,0.481,0.802,32.85,-61.87,3.02,R
,29681,,0,1535,-0.040,0.435,0.874,14.9,-38.07,0.62,R
,29711,0,0,1680,0.007,0.405,0.70,26.90,-47.02,4.57,R
,29731,0,0,1535,0.086,0.393,0.75,34.96,-38.44,6.63,R
,29751,1,0,1682,0.129,0.439,0.772,45.11,-23.05,8.53,R
,29911,0,0,1872,0.081,0.628,0.60,53.66,-15.32,26.37,R
,29961,0,0,2011,0.014,0.734,0.65,28.16,-21.38,37.34,R
,29971,0,0,2061,0.005,0744,0.62,26.38,-19.41,34.22,R
,30001,0,0,1843,0.017,0.773,0.67,24.42,-9.32,-5.11,R
,30011,0,0,1954,0.029,0.789,0.68,24.64,-7.60,-1.43,R
,30021,,0,1842,0.026,0.803,0.601,24.47,-7.16,-18.21,R
,30071,0,0,1903,0.066,0.759,0.606,0.23,0.59,-16.77,R
,30081,,0,1876,0.059,0.738,0.616,0.52,.13,-1512,R
,30121,,0,1949,0.022,0.777,0.62,-3.96,17.65,-1.89,R
,30161,0,0,1834,-0.078,.870,0.738,-1.42,3.42,-5.93,R
,30171,0,0,2008,-0.103,0.875,0.41,-2.23,-3.19,16.18,R
,30181,0,0,1959,-0.114,0.871,0.739,-0.6,-6.38,-13.82,R
,30201,0,0,1902,-0.168,.871,0.13,4.71,-5.58,-.97,R
,30211,3,0,2005,-0.154,.865,0.26,5.40,-4.50,341,R
,30231,0,0,1878,-0.118,.836,0.14,0.07,-4.13,1.88,R
,30241,,0,1904,-0.090,.818,0.31,-3.04,-4.48,6.16,R
,30251,0,0,1792,-0.057,0.816,0.740,-4.42,-5.17,8.44,R
,30271,0,0,1840,-0.018,.795,0.70,-10.61,-9.34,17.06,R
,30281,,0,1653,-0.011,0.796,0.93,-12.06,-11.8,14.85,R
,30291,0,0,1471,-0.024,0.794,0.805,-11.5,-13.46,12.94,R
,30301,0,0,1616,-0.057,0.789,0.822,-12.0,-15.75,11.49,R
,30311,,0,1607,-0.095,.777,0.32,-17.2,-19.77,10.80,R
,30321,0,0,1776,-0.116,0.775,0.72,-21.97,-23.4,12.63,R
,30331,0,0,2007,-0.101,.763,0.84,-20.10,-24.5,16.37,R
,30341,0,0,1989,-0.070,0.764,0.903,-11.41,-23.3,20.42,R
,30471,0,0,1845,0.036,0.739,0.77,28.97,-59.11,4.86,R
,30511,0,0,2128,-0.032,0.673,0.24,11.9,-42.06,-2.86,R
,30531,0,0,1776,0.007,0.665,0.594,1.92,46.25,-18.66,R
,30551,0,0,2095,0.020,0621,0.52,3.61,-59.19,-27.27,R
,30571,0,0,1847,0.110,0.700,0.56,18.36,-57.70,23.81,R
,30621,0,0,1786,0.154,0.660,0.44,2.42,32.73,-42.42,R
,30641,0,0,1888,0.203,0655,0.34,6.29,-32.67,-4.54,R
,30681,0,0,1919,0.310,0.659,0.342,-22.3,-21.40,-44.01,R
,30691,0,0,1904,0.310,0.648,0.357,-36.8,-21.80,-50.27,R
,30701,0,0,1840,0.318,0.631,0.34,-39.5,-20.30,-56.51,R
,30721,0,0,1862,0.344,0.587,0.318,-36.9,-6.24,-66.56,R
,30741,0,0,1841,0.424,0.598,0.283,-21.7,15.82,-68.60,R
,30761,0,0,1803,0.376,0.698,0.31,1.03,49.94,-5.30,R
,30771,0,0,1854,0.330,0.736,0.280,2.19,64.65,-6.01,R
,30781,,0,1937,0.294,0785,0.26,-5.85,74.04,-4.89,R
,30791,5,0,1726,0.208,0.799,0.303,-17.62,77.27,69.58,R
,30821,0,0,1831,0.092,0.896,0.44,-54.22,85.36,62.79,R
,30841,19,0,1907,-0.047,0.887,0.508,-7237,83.29,-48.05,R
,30851,15,0,1931,-0.041,0.878,0.566,-7756,89.6,-41.05,R
,30861,6,0,1877,-0.092,0.830,0.598,-80.57,93.0,-35.78,R
,30871,17,0,1951,-0.942,0.107,1174,-41.68,46.4,-4.59,R
,30881,16,0,1939,-0.028,0.707,0.335,-81.71,96.8,-18.02,R
,30891,0,0,1983,-0.054,0.712,0.521,-77.3,103.75,-25.40,R
,30901,0,0,1984,-0.106,.720,0.689,-92.5,103.33,-23.84,R
,30921,0,0,1868,-0.155,.620,0.794,-77.1,88.84,-21.81,R
,30961,15,0,1909,-0.237,0.592,0927,-20.31,108.08,-6.10,R
,30981,7,0,1993,-0.278,0.596,0.19,-21.6,118.51,-5.55,R
,30991,0,0,1904,-0.330,0.593,0.933,-29.45,114.6,-7.56,R
,31001,0,0,1904,-0.363,0.570,0.66,-30.55,106.88,-8.80,R
,31021,0,0,2017,-0.382,.537,0.85,-19.2,101.79,-8.50,R
,31031,0,0,2173,-0.410,0.545,0.977,-10.84,105.1,-6.01,R
,31081,0,0,2058,-0.544,0.618,0.31,-0.57,102.63,15.70,R
,31091,0,0,2021,-0.546,0.618,0.26,-14.65,85.94,20.68,R
,31121,,0,2095,-0.506,0.543,0.802,-48.7,47.99,27.11,R
,31131,0,0,2001,-0.420,0.512,0.64,-59.52,47.61,30.42,R
,31161,,0,1808,-0.419,.480,0.725,-61.6,57.84,48.42,R
,31171,16,0,1773,-0.490,0.490,0.781,-58.57,63.4,53.31,R
,31211,0,0,1555,-0.424,0.478,0.88,-91.84,46.22,35.50,R
,31221,13,0,1806,-0.450,0.446,0.810,-108.05,30.2,29.79,R
,31241,22,0,173,-0.429,0.374,0869,-11.88,7.53,31.92,R
,31251,19,0,1792,-0.411,0.367,0911,-109.67,0.6,34.74,R
,31261,19,0,1677,-0.351,0.342,0922,-10.60,-0.19,34.89,R
,31281,3,0,1910,-0.367,0.353,0936,-93.29,6.37,33.26,R
,31291,,0,1776,-0.398,.358,0.938,-87.3,8.62,34.11,R
,31301,16,0,1729,-0.403,0.352,0.927,-7512,11.13,35.02,R
,31311,18,0,1803,-0.433,0.357,0907,-7213,11.01,36.36,R
,31321,16,0,188,-0.426,0.385,0896,-71.90,12.97,36.95,
,31331,13,0,1766,-0.441,0.365,0882,-69.18,12.3,37.49,R
,31361,0,0,1811,-0.428,0.296,0.950,-20.95,24.60,38.59,R
,31411,0,0,2411,-0.526,0.374,0.55,-80.5,17.90,50.24,R
,31421,0,0,2149,-0.495,0.349,0.811,-87.2,10.08,47.60,R
,31441,0,0,2139,-0.431,0.264,0.69,-76.48,0.00,38.73,R
,31481,0,0,1565,-0.375,.239,0.826,-70.4,-17.20,14.60,R
,31491,,0,1590,-0.346,0.137,0.843,-80.2,-22.58,8.11,R
,31501,0,0,1812,-0.256,0.107,0.86,-64.6,-36.27,-4.74,R
,31521,0,0,1639,-0.334,.110,0.872,-56.78,-34.2,-14.08,R
,31531,0,0,1651,-0.367,0.130,0.875,-53.44,-29.4,-9.93,R
,31541,0,0,1962,-0.391,0.134,0.894,-56.29,-26.7,-7.05,R
,31561,0,0,1911,-0.394,0.117,0.09,-72.7,-34.73,-14.56,R
,31571,,0,1765,-0.434,0.102,0.19,-84.6,-37.64,-16.76,R
,31591,0,0,1735,-0.375,0.031,1.01,-78.3,-48.90,-22.79,R
