wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,777241,0,0,3920,0.047,0.728,0.672,32.85,-14.65,6.00,R
,777291,0,0,3905,0.022,.797,0.715,18.38,-5.44,1.04,R
,777301,0,0,3918,-0.008,0.807,0.739,18.80,-4.89,11.56,R
,777311,0,0,3927,-0.033,0.826,0.753,22.74,-3.50,13.15,R
,777361,0,0,3923,-0.151,0.943,0.654,43.29,-6.02,26.87,R
,777451,0,0,3923,-0.149,0.925,0359,63.20,25.99,62.89,R
,777581,0,0,3839,0.309,0.636,0.545,14.24,82.25,123.16,R
,777601,0,0,3853,0.442,0.591,0.674,-4.42,78.19,111.82,R
,777611,0,0,3827,0.484,0.529,0.745,-15.39,72.62,104.98,R
,777711,0,0,3843,0.476,0.590,0.877,30.99,-4.13,1.53,R
,777821,0,0,3818,0.448,0.678,0.386,36.91,-57.56,-24.25,
,777861,0,0,3820,0.392,0.767,0.273,19.58,-49.06,-26.77,R
,777881,0,0,3819,0.396,0.793,0.293,12.7,-30.62,-20.97,R
,777891,0,0,382,0.383,0.810,0.301,10.51,-22.86,-19.80,R
,777901,0,0,3829,0.373,0.823,0.305,10.65,-18.54,-20.73,R
,777951,0,0,3804,0.176,0.929,0.99,7.77,-9.67,-9.67,R
,777961,0,0,3817,0.153,0.920,0.297,6.96,-9.64,-13.98,R
,777971,0,0,3822,0.189,0.934,0.96,5.86,-10.62,7.20,R
,778021,0,0,3793,0.375,0.828,0.355,2.30,4.39,1.50,R
,778041,0,0,379,0.351,0.847,0.379,6.42,25.69,202,R
,778081,0,0,3803,0.362,0.815,0.468,-9.9,13.76,8.71,R
,778151,0,0,3801,0.403,0.823,0.18,0.80,1.60,-091,R
,778231,0,0,3877,0.364,0.878,0.471,4.44,-18.47,4.01,R
,778321,0,0,3907,0.312,0.937,0.31,4.25,-1.64,1.70,R
,778351,0,0,3888,0.231,0.885,0.88,3.60,12.19,1.39,R
,778371,0,0,3879,0.238,.927,0.403,10.38,16.24,9.03,R
,778411,0,0,3891,0.314,0.929,0.395,9.28,12.68,3.41,R
,778421,0,0,392,0.343,0.999,0.401,12.91,17.81,36.60,R
,778441,0,0,3926,0.302,0.948,0.02,15.26,30.31,2.81,R
,778481,0,0,3920,0.185,0.991,0.596,19.87,51.96,60.91,R
,778501,0,0,3937,0.191,0.931,0.605,23.7,39.26,65.56,R
,778521,0,0,394,0.226,0.947,0.558,34.51,20.19,7.44,R
,778551,0,0,392,0.187,1.005,0.354,14.16,0.25,8.12,R
,778561,0,0,393,0.240,0.997,0.288,2.93,-10.48,102.97,R
,778601,0,0,3937,0.458,0.599,0.271,-38.57,-21.15,144.57,R
