wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,687931,0,0,187,-0.161,0.824,0579,18.2,0.91,6.22,R
,688051,0,0,1766,-0.164,0.758,0658,0.6,5.33,541,R
,688061,bbbjrbrbrbjrbrbrbRJH6880710,0,190,-0.175,0.774,0702,-0.6,5.70,.46,R
,688541,0,0,167,0.042,0.630,0.23,0.52,-21.63,-10.73,R
,688551,0,0,165,0.051,0.625,0.34,-0.14,-22.70,-13.86,
,688591,0,0,165,0.059,0.534,0.79,-6.20,-31.71,-27.03,
,688701,0,0,178,-0.036,0.541,0814,64.50,-6.51,-58.30,
,689121,0,0,187,0.104,0.489,0.41,8.10,-21.67,-41.05,F
,689181,0,0,194,0.151,0.529,0.726,17.80,6.11,-8.04,F
,6892710,0,173,0.088,0.606,0.878,11.36,29.21,12.42,"F689281",bbªbrbrbrʚbrʪbrbjrb25
,689321,0,0,192,0.116,0.544,0.909,0.52,18.14,149,F
,689351,0,0,187,0.114,0.507,0.27,5.55,16.22,181,F
,689381,0,0,192,0.100,0.509,0.13,13.07,13.93,0.94,F
,689451,0,0,195,-0.000,0.537,0952,-9.19,1.45,9.27,F
,689491,0,0,176,0.062,0.488,0.62,-6.1,-7.81,12.39,F
,689521,0,0,199,0.094,0.438,0.47,7.65,1.82,10.17,F
,689621,0,0,191,0.060,0.500,0.02,2.42,8.69,2060,F
,689631,0,0,193,0.057,0.493,0.01,3.78,10.55,2.27,F
,689661,0,0,186,0.043,0.486,0.948,-2.2,9.21,21.55,F
,689731,0,0,168,-0.001,0.445,0.975,6.9,-16.99,8.00,F
,689741,0,0,185,0.010,0.437,0.62,8.81,-15.81,.78,F
,689871,0,0,176,0.154,0.409,0.926,-5.1,-16.59,0.08,F
,689981,0,0,173,0.179,.389,0.993,-24.11,-32.45,-14.99,F
,690021,0,0,178,0.179,.390,0.986,-13.24,-37.0,-19.74,a5
,690031,0,0,174,0.191,0.396,0.984,-11.44,-39.0,-20.82,F
,690181,0,0,187,0.364,0.454,0.685,34.3,-22.93,-13.35,
,690201,0,0,182,0.405,.472,0.54,48.79,-4.33,9.23,F
,690441,0,0,184,0.396,0.474,0.637,35.7,48.16,-7.54,F
,690601,0,0,191,0.247,0.873,0.916,42.8,65.49,3.81,F
,690621,0,0,184,0.346,.922,0.856,53.43,71.67,58.40,F
,6907810,0,1840,0.126,0.549,0.894,-26.72,34.39,83.24,F690791,bbºbrbrr²bjrbbr%25
,690811,0,0,187,0.063,.497,0.820,-3.5,14.10,2.58,F
,690831,0,0,184,0.117,0.427,0.766,8.35,-0.33,56.95,F
,691041,0,0,1801,0.264,0.717,0.795,69.1,68.14,44.77,F
,691061,0,0,184,0.268,0.681,0.52,53.6,82.49,3.90,F
,691191,0,0,177,0.151,.830,0.75,-4.87,8.94,-8.42,F
,6915010,0,177,-0.0670.264,0.801,98.8,112.1,9.21,F6915110,0,1898	rbrbrbrbrbjb25
,691581,0,0,186,-0.338,0.576,0457,98.9,164.1,-49.37,a5
,692051,0,0,177,-0.389,0.911,0653,39.80,60.29,-13.40,
,692111,0,0,193,-0.364,0.805,0397,7.33,12.55,.33,F
,692301,0,0,180,-0.426,0.854,0663,11.66,-29.38,-8.87,
,692481,0,0,214,-0.235,0.760,0562,6.01,-102.3,-52.79,a5
,692511,0,0,202,-0.341,0.772,0.529,-2525,-48.8,-33.32,F
,692651,0,0,182,-0.366,0.709,0749,-3.16,-7.78,4.17,F
,692691,0,0,188,-0.336,0.677,0789,5.60,-12.68-4.18,"F692701",bbʂbjrbrbrbrbjrbjrb25
,692861,0,0,188,-0.260,0.673,0482,-12.14,-17.3,10.20,a5
,693531,0,0,184,-0.106,0.342,0.974,-3104,-9.48,4.43,F
,693551,0,0,190,-0.029,0.312,1.011,-2.5,-0.47,-5.19,F
,693561,0,0,165,-0.093,0.337,0971,7.22,8.97,-.89,F
,6936010,0,1795,-0.111,0.369,0983,17.40,17.76-7.31,F6936110,0,184	rbrbrªbrbrbjrb25
,693701,0,0,216,-0.108,0.456,0.909,23.7,-8.58,-2.15,F
,694171,0,0,187,0.056,0.283,1.022,-18.69,-38.2,-7.29,F
,694191,0,0,1699,0.085,.239,1.73,-7.94,-44.80-16.03,F694201,bbbrbrrbjrbjbjrb25
,694751941,0,234,-0.195,0.389,0.940,4.91,32.3,-9.54,H694761,bbʚbjrbrʚbrʢbr¢brbjb25
,694911,1306,0,1906,-0.88,0.33,1.004,.63,22.07,-18.9,F
,695011,1661,0,1604,-0.22,0.343,0.971,2.30,15.0,-8.19,F
,695091,2077,0,771,-0.139,0.182,0.957,2.41,10.1,-3.17,F
,695131,2207,0,840,-0.435,0.156,1.021,-4.11,5.0,1.91,F
,695161,2240,0,1770,-0.90,0.57,0.970,13.11,2805,-5.95,F
,695281,2288,0,809,-0.051,0.233,0.913,.37,-9.31,4.69,
,695341,2320,0,1893,0.21,0.435,0.873,21.92,13.7,-5.00,F
,695401,2371,0,1849,0.27,0.496,0.918,23.29,9.0,-9.00,F
,695661,2443,0,1847,-0.06,-0.035,0.931,15.52,443,17.29,F
,696071,2559,0,1806,-0.023,0.78,1.035,6.81,30.48,-16.1,F
,696281,2630,0,1780,0.14,0.819,1.133,2.00,35.12,-16.9,F
,696301,2644,0,957,-0.353,0.66,1.062,3.43,1994,-12.13,F
,696411,2658,0,006,0.018,0.814,1.074,1.93,25.33,-16.6,F
,696741,2698,0,888,-0.722,0.189,1.026,.33,5.4,12.20,F
,697321,2784,0,1870,-0.05,0.527,1.080,5.95,19.70,4.07,a5
,697501,2761,0,695,0.30,0.667,0.927,17.05,25.10,-15.64,F
,697541,2762,0,756,0.06,0.853,1.066,1.84,30.37,-14.50,F
,697661,2733,0,867,-0.15,-0.053,0.851,8.73,-9.77,18.23,F
,698241,1883,0,1860,0.11,0.701,1.004,2.52,27.47,31.29,a5
,698941,0,0,1813,-0.154,0.502,0.935,22.6,27.87,4.19,F
,699141,0,0,1872,-0.187,0.476,0821,1.78,6.71,1.07,F
,699231,0,0,1989,-0.216,0.487,0853,5.92,31.74,4.26,F
,699241,0,0,1796,-0.221,0.487,0842,1.8,30.98,7.36,F
,699321,0,0,1766,-0.172,0.458,0929,-35.96,-37.0,11.20,F
,699641,0,0,1751,0.076,0.300,0.97,-0.20,-0.26,.71,F
,699711,0,0,1830,0.141,0.268,0.964,15.4,-2.30,1.94,F
,699851,0,0,1801,0.127,0.293,0.40,31.63,29.91,4.91,F
,699891,0,0,1873,0.034,0.325,0.61,24.2,37.16,4.32,F
,700151,0,0,187,0.019,0.344,1.00,16.91,9.44,-.96,F
,700201,0,0,194,0.008,0.374,0.53,24.49,19.87,6.85,F
,700381,0,0,177,0.051,0.365,0.937,14.6,16.83,0.39,F
,700501,0,0,200,0.010,0.370,0.944,14.09,12.31,.46,F
,700541,0,0,184,0.008,0.387,0.923,5.04,5.49,4.0,F
,700761,0,0,184,0.039,0.374,0.957,-0.96,-1.77,.57,F
,700961,0,0,1778,0.089,.291,0.969,14.6,21.04,1.96,F
,701091,0,0,1846,0.002,0.347,0.979,39.54,48.52,6.71,F
,701321,0,0,1799,-0.266,0.533,0836,-7.1,8.33,-4.61,F
,701611,912,74,1903,-0.86,0.381,0.986,.58,-1909,-21.32,F
,701641,1246,256,1835,-.137,0.411,0.925,-1.27,.34,-18.93,F
,701741,1713,166,1744,-.180,0.370,0.96,21.92,23.58,-1.42,F
,701981,2288,207,1765,0011,0.206,0.725,-0.49,-.84,9.58,F
