wallclock_iso,t_ms,fsr1,fsr2,emg,ax,ay,az,gx,gy,gz,mode
,1578771,205,0,1822,-0.129,0.740,0.734,8.21,15.07,-1.93,R
,1578781,205,0,1846,-0.121,0.738,0.739,8.90,13.99,-1.46,R
,1578791,206,0,1883,-0.122,0.738,0.734,10.12,13.59,-1.34,R
,1578801,208,0,1847,-0.125,0.740,0.720,11.49,13.93,-0.47,R
,1578811,202,0,1875,-0.129,0.741,0.730,13.03,14.20,0.26,R
,1578821,204,0,1824,-0.133,0.739,0.725,14.30,13.71,1.00,R
,1578831,204,0,1882,-0.125,0.731,0.719,15.05,13.27,0.84,R
,1578841,201,0,1807,-0.122,0.729,0.707,14.84,13.19,1.52,R
,1578851,207,0,1840,-0.121,0.722,0.697,15.19,13.24,1.97,R
,1578861,205,0,1875,-0.113,0.708,0.688,15.35,13.56,2.16,R
,1578871,199,0,1895,-0.108,0.696,0.688,15.26,13.90,1.94,R
,1578881,208,0,1813,-0.105,0.708,0.670,15.25,14.95,1.52,R
,1578891,204,0,1847,-0.104,0.709,0.672,14.64,16.44,1.09,R
,1578901,199,0,1841,-0.100,0.717,0.669,13.69,18.00,0.94,R
,1578911,205,0,1882,-0.110,0.724,0.670,11.90,19.03,1.24,R
,1578921,206,0,1934,-0.110,0.737,0.669,9.89,19.36,1.23,R
,1578931,207,0,1854,-0.108,0.735,0.668,7.46,18.78,1.99,R
,1578941,202,0,1815,-0.106,0.736,0.669,5.37,18.64,2.19,R
,1578951,204,0,1866,-0.103,0.732,0.683,4.07,18.09,1.87,R
,1578961,207,0,1886,-0.103,0.728,0.692,3.60,17.61,1.73,R
,1578971,208,0,1775,-0.102,0.719,0.687,2.96,17.33,1.50,R
,1578981,203,0,1786,-0.105,0.717,0.692,4.01,17.68,1.38,R
,1578991,203,0,1824,-0.098,0.717,0.712,5.63,18.80,1.64,R
,1579001,208,0,1887,-0.098,0.724,0.713,5.92,20.17,1.78,R
,1579011,205,0,1884,-0.097,0.727,0.713,5.35,20.63,1.81,R
,1579021,202,0,1847,-0.104,0.732,0.720,5.14,20.43,1.59,R
,1579031,204,0,1867,-0.110,0.727,0.726,4.85,20.32,1.49,R
,1579041,206,0,1840,-0.108,0.727,0.729,4.96,19.09,1.50,R
,1579051,207,0,1837,-0.115,0.727,0.730,5.28,18.78,1.73,R
,1579061,207,0,1825,-0.113,0.719,0.743,5.25,17.59,1.90,R
,1579071,205,0,1849,-0.112,0.714,0.741,5.13,16.26,1.87,R
,1579081,206,0,1948,-0.103,0.704,0.747,4.77,14.98,1.09,R
,1579091,205,0,1823,-0.100,0.697,0.735,4.39,13.86,0.45,R
,1579101,207,0,1898,-0.102,0.692,0.745,4.50,13.12,-0.09,R
,1579111,203,0,1873,-0.100,0.687,0.742,5.87,12.96,0.05,R
,1579121,204,0,1909,-0.104,0.685,0.743,7.78,13.68,0.04,R
,1579131,207,0,1872,-0.100,0.685,0.735,9.32,14.26,-0.12,R
,1579141,201,0,1853,-0.103,0.686,0.730,10.71,15.07,-0.65,R
,1579151,203,0,1867,-0.109,0.685,0.724,11.60,15.16,-1.08,R
,1579161,202,0,1870,-0.111,0.689,0.720,12.29,15.50,-1.45,R
